destination_id,name,type,url,image[0].url,address.addr1,address.city,address.country,latitude,longitude,description,status,custom_label_0,custom_label_1
6395180312,Hatta,destination,https://daytrip.com/en/transfers/hatta-ae,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/hatta--united-arab-emirates--pinterest-pin.png,Hatta,Hatta,United Arab Emirates,24.8061691,56.1253848,"Known for its stunning natural surroundings, this mountain village is also one of the oldest heritage sites in the UAE.",active,United Arab Emirates,Asia
6395180313,Sheikh Zayed Mosque,destination,https://daytrip.com/en/transfers/sheikh-zayed-mosque-ae,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/sheikh-zayed-mosque--united-arab-emirates--pinterest-pin.png,Sheikh Zayed Grand Mosque Center,Sheikh Zayed Mosque,United Arab Emirates,24.4126713,54.475939,"The UAE's largest mosque is a marvel of architecture and design, both beautiful and record-breaking.",active,United Arab Emirates,Asia
6395180315,Al Ain,destination,https://daytrip.com/en/transfers/al-ain-ae,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/al-ain--united-arab-emirates--pinterest-pin.png,Al Ain,Al Ain,United Arab Emirates,24.215357311604205,55.722660921093734,"For thousands of years people have been coming to this city to trade, and its UNESCO-listed oasis to refresh.",active,United Arab Emirates,Asia
6395180316,Jazirat Al Hamra,destination,https://daytrip.com/en/transfers/jazirat-al-hamra-ae,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/jazirat-al-hamra--united-arab-emirates--pinterest-pin.png,"Jazirat Al Hamra, United Arab Emirates",Jazirat Al Hamra,United Arab Emirates,25.707661346246166,55.796513402685605,"This abandoned village is a reminder of a time-gone-by, now said to be haunted by flesh-eating spirits.",active,United Arab Emirates,Asia
6395180317,English Harbour,destination,https://daytrip.com/en/transfers/english-harbour-ag,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/english-harbour--antigua-and-barbuda--pinterest-pin.png,English Harbour,English Harbour,Antigua and Barbuda,17.008786,-61.762114999999987,"This natural harbor and settlement have evolved from a strategic naval base to a vibrant yachting hub, making it a must-visit destination for sailors, history enthusiasts, and sun-seeking travelers alike.",active,Antigua and Barbuda,North America
6395180318,St John's,destination,https://daytrip.com/en/transfers/st-john-s-ag,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/st-john-s--antigua-and-barbuda--pinterest-pin.png,St. John's antigua,St John's,Antigua and Barbuda,17.1274104,-61.846771999999987,"The capital and largest city of Antigua and Barbuda exudes the vibrant essence of the Caribbean, serving as the bustling commercial hub of the nation.",active,Antigua and Barbuda,North America
6395180319,Devil's Bridge and Indian Town NP,destination,https://daytrip.com/en/transfers/devil-s-bridge-national-park-ag,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/devil-s-bridge-and-indian-town-np--antigua-and-barbuda--pinterest-pin.png,Devil's Bridge National Park,Devil's Bridge and Indian Town NP,Antigua and Barbuda,17.1005038,-61.678424599999992,An awe-inspiring natural rock arch located on Antigua's Atlantic coast near Indian Town Point stands as a testament to the power of nature's forces.,active,Antigua and Barbuda,North America
6395180320,Dickenson Bay,destination,https://daytrip.com/en/transfers/dickenson-bay-ag,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/dickenson-bay--antigua-and-barbuda--pinterest-pin.png,Dickenson Bay antigua,Dickenson Bay,Antigua and Barbuda,17.1580914,-61.8453093,"This stretch of pristine shoreline is graces by a series of prominent resort hotels, making it one of Antigua's premier accommodation hubs and beachfront destinations",active,Antigua and Barbuda,North America
6395180322,Berat,destination,https://daytrip.com/en/transfers/berat-al,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/berat--albania--pinterest-pin.png,"Berat, Albania",Berat,Albania,40.7086377,19.9437314,"The collection of white houses might look similar, but their unique Ottoman architecture earned this town the distinction of being a UNESCO World Heritage Site.",active,Albania,Europe
6395180323,Gjirokaster,destination,https://daytrip.com/en/transfers/gjirokaster-al,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/gjirokaster--albania--pinterest-pin.png,"Gjirokaster, Albania",Gjirokaster,Albania,40.0672874,20.1045229,"With stone streets, stone buildings, and a stone fortress, this UNESCO World Heritage Site lives up to its name.",active,Albania,Europe
6395180324,Shkoder,destination,https://daytrip.com/en/transfers/shkoder-al,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/shkoder--albania--pinterest-pin.png,"Shkodër, Albania",Shkoder,Albania,42.0692985,19.5032559,"Minting their own coins since at least 200BC, this Albanian city has been an important seat of power for thousands of years.",active,Albania,Europe
6395180325,Butrint,destination,https://daytrip.com/en/transfers/butrint-al,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/butrint--albania--pinterest-pin.png,Albania,Butrint,Albania,39.7460123,20.0204005,"Settled for millennia, this archaeological site offers ruins from Greek, Roman, Byzantine and Venetian Empires all in one place.",active,Albania,Europe
6395180326,Elbasan,destination,https://daytrip.com/en/transfers/elbasan-al,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/elbasan--albania--pinterest-pin.png,"Elbasan, Albania",Elbasan,Albania,41.11023,20.0866554,This ancient city had a hand in everything from spreading Christianity to developing the country's language and schools.,active,Albania,Europe
6395180327,Vlore,destination,https://daytrip.com/en/transfers/vlore-al,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/vlore--albania--pinterest-pin.png,"Vlorë, Albania",Vlore,Albania,40.4660668,19.491356,Albania declared independence from the Ottoman Empire in this ancient port city.,active,Albania,Europe
6395180328,Durres,destination,https://daytrip.com/en/transfers/durres-al,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/durres--albania--pinterest-pin.png,"Durrës, Albania",Durres,Albania,41.3245904,19.4564686,"Albania's biggest port is also one of its oldest cities, and home to one of the largest amphitheatres in the Balkans.",active,Albania,Europe
6395180330,Vanadzor,destination,https://daytrip.com/en/transfers/vanadzor-am,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/vanadzor--armenia--pinterest-pin.png,Vanadzor,Vanadzor,Armenia,40.807399,44.4970268,"Once an industrial powerhouse, now a major Armenian city, Vanadzor offers archeological sites, churches, and unique landmarks to its visitors.",active,Armenia,Asia
6395180331,Gyumri,destination,https://daytrip.com/en/transfers/gyumri-am,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/gyumri--armenia--pinterest-pin.png,Gyumri,Gyumri,Armenia,40.7929026,43.8464971,The second-largest city in Armenia emerged as a cultural hub in Russian-ruled Eastern Armenia in the late 199th century and boasts pictuesque views in the Shirak Province.,active,Armenia,Asia
6395180332,Stepanavan,destination,https://daytrip.com/en/transfers/stepanavan-am,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/stepanavan--armenia--pinterest-pin.png,Stepanavan,Stepanavan,Armenia,41.0059806,44.3832616,"Photo (2) by Վահե Բուդումյան, CC BY-SA 3.0 , via Wikimedia Commons Photo (3) by Valen1988 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=57806270",active,Armenia,Asia
6395180333,Garni,destination,https://daytrip.com/en/transfers/garni-am,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/garni--armenia--pinterest-pin.png,Garni,Garni,Armenia,40.1185127,44.718632799999988,Visit Armenia's exceptional pagan temple featuring perfect classical proportions and intricate stone carvings dating to the reign of King Tiridates I.,active,Armenia,Asia
6395180334,Dilijan,destination,https://daytrip.com/en/transfers/dilijan-am,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/dilijan--armenia--pinterest-pin.png,Dilijan,Dilijan,Armenia,40.7405524,44.8625965,"This spa town, abundant with natural scenery, exudes a serene charm that has attracted artists, composers, and filmmakers.",active,Armenia,Asia
6395180335,Villa Traful,destination,https://daytrip.com/en/transfers/villa-traful-ar,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/villa-traful--argentina--pinterest-pin.png,Villa Traful,Villa Traful,Argentina,-40.6536166,-71.39994879999999,"This small village, with its 500 inhabitants, is a testament to sustainable tourism, preserving the landscape and the mountain spirit.",active,Argentina,South America
6395180336,Mar del Plata,destination,https://daytrip.com/en/transfers/mar-del-plata-ar,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/mar-del-plata--argentina--pinterest-pin.png,Mar De Plata,Mar del Plata,Argentina,-38.0054771,-57.5426106,Soak up the sun in Argentina's biggest seaside beach resort.,active,Argentina,South America
6395180337,Cafayate,destination,https://daytrip.com/en/transfers/cafayate-ar,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/cafayate--argentina--pinterest-pin.png,Cafayate,Cafayate,Argentina,-26.0730798,-65.976052,Get on cloud wine in a town that is a must-visit for wine lovers OR enjoy nature and taste fantastic wine,active,Argentina,South America
6395180338,Purmamarca,destination,https://daytrip.com/en/transfers/purmamarca-ar,https://raw.githubusercontent.com/kubaivanov/pictures/main/pinterest/purmamarca--argentina--pinterest-pin.png,Purmamarca,Purmamarca,Argentina,-23.7466359,-65.4992451,Immerse yourself in a traditional way of life in this ancient town surrounded by a breathtaking landscape.,active,Argentina,South America
